States,Daily,Weekly,Fortnightly,Monthly,Quarterly,Annual,Others,Total
Andaman & Nicobar Islands,198549,15051,5000,515,0,0,0,219115
Andhra Pradesh,15968932,1624574,1090665,4686396,4400,0,252260,23627227
Arunachal Pradesh,311504,0,0,16000,0,0,0,327504
Assam,1988514,486166,39702,161616,0,800,92236,2769034
Bihar,8089032,1380948,164485,441536,17300,0,570312,10663613
Chandigarh,1767123,433894,1000,120834,0,0,61472,2384323
Chhattisgarh,5895242,887109,73413,850668,32200,23000,201328,7962960
Daman & Diu,266752,18000,0,0,0,0,0,284752
Delhi,16980014,8601226,2662878,7462099,260254,360655,551110,36878236
Dadra & Nagar Haveli,344023,51400,84735,40846,0,0,0,521004
Goa,333648,60617,21064,6500,0,0,0,421829
Gujarat,19927893,10036878,2956990,1206974,62443,0,663081,34854259
Haryana,2722492,768529,268990,587435,6100,0,104905,4458451
Himachal Pradesh,625513,262346,5450,69907,14200,150,0,977566
Jharkhand,3571112,1096981,96405,228083,36350,0,307065,5335996
Jammu & Kashmir,7354165,966076,50750,210482,14000,10000,1900,8607373
Karnataka,9016124,2530370,380136,689349,28191,14000,366434,13024604
Kerala,8949974,2686272,1160194,3115156,63360,460103,93578,16528637
Maharashtra,26574973,13614650,922371,2124114,157108,518061,3160832,47072109
Manipur,346703,0,0,0,0,0,0,346703
Meghalaya,262142,4200,0,500,0,0,0,266842
Mizoram,234187,2900,0,261975,5900,0,40900,545862
Madhya Pradesh,24876958,10944889,1126719,7974235,416863,8400,1440212,46788276
Nagaland,174699,0,0,0,0,0,0,174699
Odisha,7293265,2812813,1391932,1390847,96147,0,158854,13143858
Pondicherry,187838,13025,11000,32261,8053,0,8812,260989
Punjab,3387336,669666,337945,422199,2000,1250,33933,4854329
Rajasthan,13305082,2482224,3182354,661094,29588,25100,596320,20281762
Sikkim,361716,15291,0,0,0,0,0,377007
Telangana,8659764,1076589,437395,2460937,90600,28500,56999,12810784
Tamil Nadu,8013535,4170185,1085720,1548579,20467,100,512763,15351349
Tripura,591252,118867,8456,1200,0,0,900,720675
Uttar Pradesh,33042949,26534491,2199116,4795312,543131,15500,1818432,68948931
Uttarakhand,4278999,9276114,1211129,1217503,41526,2700,489708,16517679
West Bengal,6788553,2385534,1400008,987861,73585,2588,120163,11758292
Total,242690557,106027875,22376002,43773013,2023766,1470907,11704509,430066629
