rank,state,population_19,population_11,growth_absolute,growth_percentage,share_percentage,country,world_rank
UT5,Andaman & Nicobar Islands,417036,380581,36455,9.58,0.03,Brunei Darussalam,176
10,Andhra Pradesh,53903393,49576777,4326616,8.73,3.93,Myanmar,27
26,Arunachal Pradesh,1570458,1383727,186731,13.49,0.11,Bahrain,153
15,Assam,35607039,31205576,4401463,14.1,2.6,Morocco,41
2,Bihar,124799926,104099452,20700474,19.89,9.1,Japan,12
UT3,Chandigarh,1158473,1055450,103023,9.76,0.08,Eswatini,159
17,Chhattisgarh,29436231,25545198,3891033,15.23,2.15,Yemen,48
UT4,Dadra & Nagar Haveli and Daman & Diu,615724,586956,28768,4.9,0.04,Luxembourg,170
NCT,Delhi,18710922,16787941,1922981,11.45,1.36,Malawi,63
25,Goa,1586250,1458545,127705,8.76,0.12,Bahrain,153
9,Gujarat,63872399,60439692,3432707,5.68,4.66,France,23
18,Haryana,28204692,25351462,2853230,11.25,2.06,Venezuela,51
20,Himachal Pradesh,7451955,6864602,587353,8.56,0.54,"China, Hong Kong SAR",104
UT1,Jammu & Kashmir,13606320,12258433,1347887,11,0.99,Guinea,75
13,Jharkhand,38593948,32988134,5605814,16.99,2.81,Afghanistan,37
8,Karnataka,67562686,61095297,6467389,10.59,4.93,United Kingdom,21
14,Kerala,35699443,33406061,2293382,6.87,2.6,Morocco,41
UT6,Ladakh,289023,290492,-1469,-0.51,0.02,French Guiana,183
UT7,Lakshadweep,73183,64473,8710,13.51,0.01,Dominica,204
5,Madhya Pradesh,85358965,72626809,12732156,17.53,6.22,Democratic Republic of the Congo,17
3,Maharashtra,123144223,112374333,10769890,9.58,8.98,Japan,12
23,Manipur,3091545,2855794,235751,8.26,0.23,Mongolia,137
22,Meghalaya,3366710,2966889,399821,13.48,0.25,Bosnia and Herzegovina,135
27,Mizoram,1239244,1097206,142038,12.95,0.09,Mauritius,158
24,Nagaland,2249695,1978502,271193,13.71,0.16,Botswana,146
11,Odisha,46356334,41974218,4382116,10.44,3.38,Spain,31
UT2,Pondicherry,1413542,1247953,165589,13.27,0.1,Trinidad and Tobago,153
16,Punjab,30141373,27743338,2398035,8.64,2.2,Mozambique,48
6,Rajasthan,81032689,68548437,12484252,18.21,5.91,Iran,20
28,Sikkim,690251,610577,79674,13.05,0.05,Solomon Islands,166
7,Tamil Nadu,77841267,72147030,5694237,7.89,5.68,Iran,20
12,Telangana,39362732,35004000,4358732,12.45,2.87,Iraq,36
21,Tripura,4169794,3673917,495877,13.5,0.3,Kuwait,130
1,Uttar Pradesh,237882725,199812341,38070384,19.05,17.35,Pakistan,5
19,Uttarakhand,11250858,10086292,1164566,11.55,0.82,Haiti,84
4,West Bengal,99609303,91276115,8333188,9.13,7.26,Egypt,15
